"StartDate","EndDate","Status","Duration__in_seconds_","consent","age","gender","Partner_Availabilty1","Partner_Availabilty2","FearBeingSingle1","FearBeingSingle2","FearBeingSingle3","DAuse","RsStatus","SexOrient","Q_TotalDuration","Dummy_Relationship","Dummy_Female","PartnerAvail","FOBS","c_PAmany","RsStatus_inRShip","Gndr_F"
2019-12-06 12:42:52,2019-12-06 13:13:03,0,1810,1,48,2,5,5,1,5,1,7,1,3,1810,0,1,5,2.33333333333333,2.1139,0,1
2019-12-09 12:26:59,2019-12-09 12:33:12,0,372,1,29,1,2,3,4,5,4,3,1,1,372,0,0,2.5,4.33333333333333,-0.3861,0,0
2019-12-09 09:24:19,2019-12-09 11:19:02,0,6882,1,25,2,5,5,1,3,1,2,1,1,6882,0,1,5,1.66666666666667,2.1139,0,1
2019-12-06 16:27:34,2019-12-06 17:12:37,0,2702,1,64,1,1,5,1,1,1,1,1,1,2702,0,0,3,1,0.1139,0,0
2019-12-05 12:39:30,2019-12-05 12:56:58,0,1047,1,59,1,1,1,1,1,1,1,1,1,1047,0,0,1,1,-1.8861,0,0
2019-12-05 13:44:19,2019-12-05 14:01:45,0,1045,1,48,2,1,1,1,1,1,1,1,4,1045,0,1,1,1,-1.8861,0,1
2019-12-06 21:47:23,2019-12-06 22:21:30,0,2047,1,27,2,2,1,2,3,3,1,1,1,2047,0,1,1.5,2.66666666666667,-1.3861,0,1
2019-12-07 08:42:34,2019-12-07 09:07:10,0,1476,1,58,2,3,3,1,1,1,1,1,1,1476,0,1,3,1,0.1139,0,1
2019-12-06 23:58:46,2019-12-07 00:08:02,0,556,1,21,1,1,2,2,2,3,1,1,1,556,0,0,1.5,2.33333333333333,-1.3861,0,0
2019-12-06 19:30:52,2019-12-06 19:43:14,0,741,1,26,2,5,5,1,1,1,1,1,3,741,0,1,5,1,2.1139,0,1
2019-12-06 21:57:02,2019-12-06 22:23:43,0,1600,1,58,1,1,1,1,5,5,1,1,1,1600,0,0,1,3.66666666666667,-1.8861,0,0
2019-12-07 17:31:23,2019-12-07 17:44:41,0,797,1,61,1,1,1,1,1,1,1,1,1,797,0,0,1,1,-1.8861,0,0
2019-12-08 06:59:17,2019-12-08 07:31:53,0,1955,1,51,1,5,5,1,1,1,1,1,1,1955,0,0,5,1,2.1139,0,0
2019-12-08 10:01:23,2019-12-08 10:25:36,0,1453,1,48,1,5,5,1,1,1,1,1,1,1453,0,0,5,1,2.1139,0,0
2019-12-06 15:12:44,2019-12-06 15:25:11,0,747,1,20,1,2,5,5,4,4,5,1,1,747,0,0,3.5,4.33333333333333,0.6139,0,0
2019-12-05 13:12:36,2019-12-05 13:20:13,0,456,1,20,1,3,4,4,2,3,5,1,1,456,0,0,3.5,3,0.6139,0,0
2019-12-08 00:06:14,2019-12-08 00:20:24,0,850,1,23,1,3,4,3,3,3,2,1,1,850,0,0,3.5,3,0.6139,0,0
2019-12-05 12:46:00,2019-12-05 12:54:14,0,493,1,29,1,4,2,4,4,2,7,1,3,493,0,0,3,3.33333333333333,0.1139,0,0
2019-12-05 13:31:10,2019-12-05 13:48:20,0,1030,1,20,1,5,5,4,5,4,6,1,4,1030,0,0,5,4.33333333333333,2.1139,0,0
2019-12-05 22:59:00,2019-12-05 23:10:31,0,690,1,28,1,5,5,3,5,4,4,1,1,690,0,0,5,4,2.1139,0,0
2019-12-06 20:22:26,2019-12-06 20:38:45,0,979,1,28,1,4,4,1,1,1,2,1,3,979,0,0,4,1,1.1139,0,0
2019-12-07 18:50:50,2019-12-07 19:00:58,0,607,1,28,1,1,3,2,4,3,2,1,3,607,0,0,2,3,-0.8861,0,0
2019-12-06 12:46:31,2019-12-06 12:53:42,0,430,1,42,1,4,4,2,2,3,6,1,1,430,0,0,4,2.33333333333333,1.1139,0,0
2019-12-11 08:24:08,2019-12-11 08:38:08,0,839,1,23,1,3,3,4,2,2,2,1,1,839,0,0,3,2.66666666666667,0.1139,0,0
2019-12-05 13:14:02,2019-12-05 13:49:28,0,2126,1,41,1,3,4,2,1,1,1,1,1,2126,0,0,3.5,1.33333333333333,0.6139,0,0
2019-12-07 17:38:19,2019-12-07 17:59:30,0,1270,1,47,2,1,1,4,4,4,1,1,1,1270,0,1,1,4,-1.8861,0,1
2019-12-07 22:36:48,2019-12-07 22:59:51,0,1383,1,65,2,2,2,1,2,2,1,1,1,1383,0,1,2,1.66666666666667,-0.8861,0,1
2019-12-10 06:20:37,2019-12-10 06:38:16,0,1058,1,28,2,2,2,2,1,1,1,1,1,1058,0,1,2,1.33333333333333,-0.8861,0,1
2019-12-04 10:44:38,2019-12-04 10:50:57,0,378,1,33,1,3,3,3,3,3,5,1,1,378,0,0,3,3,0.1139,0,0
2019-12-10 18:33:35,2019-12-10 18:45:23,0,707,1,44,1,4,2,4,3,5,4,1,2,707,0,0,3,4,0.1139,0,0
2019-12-12 13:06:09,2019-12-12 13:14:04,0,475,1,36,1,3,3,3,3,3,7,1,1,475,0,0,3,3,0.1139,0,0
2019-12-08 20:04:13,2019-12-08 20:33:22,0,1749,1,33,2,3,3,3,3,3,5,1,2,1749,0,1,3,3,0.1139,0,1
2019-12-10 17:43:57,2019-12-10 17:59:48,0,950,1,38,1,4,4,4,3,4,5,1,1,950,0,0,4,3.66666666666667,1.1139,0,0
2019-12-06 16:57:57,2019-12-06 17:23:26,0,1529,1,55,1,4,2,1,1,1,2,1,1,1529,0,0,3,1,0.1139,0,0
2019-12-05 20:17:15,2019-12-05 20:33:46,0,991,1,19,2,4,4,4,5,5,4,1,2,991,0,1,4,4.66666666666667,1.1139,0,1
2019-12-10 14:09:03,2019-12-10 18:06:35,0,14251,1,23,1,3,3,4,4,4,2,1,1,14251,0,0,3,4,0.1139,0,0
2019-12-07 16:33:23,2019-12-07 16:53:37,0,1213,1,18,1,3,4,4,4,4,5,1,1,1213,0,0,3.5,4,0.6139,0,0
2019-12-08 09:17:35,2019-12-08 09:31:30,0,835,1,43,2,2,2,2,3,3,5,1,1,835,0,1,2,2.66666666666667,-0.8861,0,1
2019-12-07 11:20:35,2019-12-07 11:30:57,0,621,1,43,1,3,3,4,3,3,4,1,1,621,0,0,3,3.33333333333333,0.1139,0,0
2019-12-08 00:36:24,2019-12-08 00:48:59,0,755,1,62,1,3,3,3,3,3,1,1,1,755,0,0,3,3,0.1139,0,0
2019-12-07 05:09:50,2019-12-07 14:34:48,0,33898,1,19,2,3,3,4,3,4,6,1,1,33898,0,1,3,3.66666666666667,0.1139,0,1
2019-12-09 22:17:25,2019-12-09 22:24:18,0,413,1,28,1,3,3,3,3,3,5,1,1,413,0,0,3,3,0.1139,0,0
2019-12-11 08:52:19,2019-12-11 09:21:10,0,1730,1,21,2,3,3,3,3,3,5,1,1,1730,0,1,3,3,0.1139,0,1
2019-12-06 15:16:49,2019-12-06 15:27:49,0,659,1,19,1,2,3,3,2,3,2,1,4,659,0,0,2.5,2.66666666666667,-0.3861,0,0
2019-12-08 01:48:20,2019-12-08 02:11:36,0,1395,1,60,1,3,3,3,3,3,2,1,2,1395,0,0,3,3,0.1139,0,0
2019-12-06 18:34:22,2019-12-06 19:02:41,0,1698,1,44,2,3,3,1,4,1,1,1,2,1698,0,1,3,2,0.1139,0,1
2019-12-06 20:13:33,2019-12-06 20:28:35,0,901,1,21,1,3,3,1,1,1,1,1,1,901,0,0,3,1,0.1139,0,0
2019-12-05 22:45:15,2019-12-05 23:07:12,0,1316,1,62,2,2,2,1,1,1,1,1,1,1316,0,1,2,1,-0.8861,0,1
2019-12-07 16:08:51,2019-12-07 16:22:42,0,831,1,47,2,2,2,1,1,1,1,1,4,831,0,1,2,1,-0.8861,0,1
2019-12-08 06:42:55,2019-12-08 07:05:15,0,1339,1,28,2,2,2,2,2,2,1,1,1,1339,0,1,2,2,-0.8861,0,1
2019-12-06 16:28:04,2019-12-06 16:41:42,0,817,1,49,1,3,3,3,1,1,1,1,1,817,0,0,3,1.66666666666667,0.1139,0,0
2019-12-06 18:41:07,2019-12-06 19:09:52,0,1725,1,52,2,3,3,3,3,3,1,1,1,1725,0,1,3,3,0.1139,0,1
2019-12-06 19:53:53,2019-12-06 20:00:47,0,413,1,22,2,2,3,4,3,3,1,1,3,413,0,1,2.5,3.33333333333333,-0.3861,0,1
2019-12-07 12:29:27,2019-12-07 12:53:31,0,1443,1,58,1,5,3,1,1,1,1,1,1,1443,0,0,4,1,1.1139,0,0
2019-12-07 13:57:24,2019-12-07 14:18:04,0,1240,1,61,2,1,1,1,1,1,1,1,1,1240,0,1,1,1,-1.8861,0,1
2019-12-07 16:55:16,2019-12-07 17:37:41,0,2544,1,51,1,3,2,2,1,2,1,1,2,2544,0,0,2.5,1.66666666666667,-0.3861,0,0
2019-12-07 17:39:29,2019-12-07 17:58:27,0,1137,1,47,2,4,4,1,1,1,1,1,1,1137,0,1,4,1,1.1139,0,1
2019-12-07 18:52:52,2019-12-07 19:15:09,0,1337,1,54,1,4,3,1,1,1,1,1,1,1337,0,0,3.5,1,0.6139,0,0
2019-12-11 13:18:02,2019-12-11 13:33:36,0,933,1,50,1,1,1,1,1,1,1,1,1,933,0,0,1,1,-1.8861,0,0
2019-12-05 14:39:50,2019-12-05 15:01:22,0,1291,1,37,1,5,5,3,5,1,1,1,1,1291,0,0,5,3,2.1139,0,0
2019-12-07 21:00:08,2019-12-07 22:09:46,0,4178,1,46,2,2,2,4,4,3,1,1,4,4178,0,1,2,3.66666666666667,-0.8861,0,1
